name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
Resident Evil: Outbreak,Action,2003,Capcom,1.45,71,8.3,Capcom,M,PS2,17
NBA 2K14,Sports,2013,Take-Two Interactive,1.45,85,6.5,Visual Concepts,E,PS4,0
My Word Coach,Misc,2007,Ubisoft,1.44,71,6.8,Ubisoft,E,DS,0
Tiger Woods PGA Tour 2005,Sports,2004,Electronic Arts,1.44,88,8.2,EA,E,PS2,0
NCAA Football 2003,Sports,2002,Electronic Arts,1.44,91,8.6,EA,E,PS2,0
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.43,71,6.8,Yuke's,T,X360,13
Classic NES Series: Super Mario Bros.,Platform,2004,Nintendo,1.43,84,8.6,Nintendo,E,GBA,0
Hasbro Family Game Night,Puzzle,2008,Electronic Arts,1.43,63,7.5,EA,E,Wii,0
SimCity (2013),Simulation,2013,Electronic Arts,1.42,64,2.2,Maxis,E10+,PC,10
NFL Street,Sports,2004,Electronic Arts,1.42,80,8.9,EA,E,PS2,0
Tiger Woods PGA Tour 09 All-Play,Sports,2008,Electronic Arts,1.42,81,8.7,EA,E,Wii,0
Rayman Raving Rabbids,Misc,2006,Ubisoft,1.42,76,7.9,Ubisoft,E,Wii,0
UFC Undisputed 2010,Fighting,2010,Other,1.41,85,7.2,Yuke's,T,PS3,13
NASCAR 2005: Chase for the Cup,Racing,2004,Electronic Arts,1.41,87,8.4,EA,E,PS2,0
Fight Night Round 4,Fighting,2009,Electronic Arts,1.4,87,8.1,EA,T,X360,13
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,1.4,83,8.6,Traveller's Tales,E10+,PSP,10
Dead Space,Action,2008,Electronic Arts,1.4,89,8.7,EA,M,X360,17
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.4,72,6.1,Traveller's Tales,E10+,Wii,10
Ridge Racer,Racing,2004,Sony Computer Entertainment,1.4,88,8.2,Namco,E,PSP,0
Colin McRae Rally 3,Racing,2002,Codemasters,1.4,86,7.7,Codemasters,E,PS2,0
Madden NFL 2002,Sports,2001,Electronic Arts,1.39,88,8,EA,E,PS,0
Dynasty Warriors 5,Action,2005,Tecmo Koei,1.39,69,8.8,Omega Force,T,PS2,13
Far Cry 2,Action,2008,Ubisoft,1.38,85,6.4,Ubisoft,M,PS3,17
LEGO Indiana Jones: The Original Adventures,Action,2008,Other,1.37,77,8.4,Traveller's Tales,E10+,PS2,10
The Sims 2,Simulation,2005,Electronic Arts,1.37,65,6.9,Maxis,T,PSP,13
Crash Bandicoot 2: N-Tranced,Platform,2003,Other,1.36,75,7.8,Vicarious Visions,E,GBA,0
Dead to Rights,Shooter,2002,Electronic Arts,1.36,73,8.9,Namco,M,PS2,17
Hasbro Family Game Night 2,Misc,2009,Electronic Arts,1.35,63,6.3,EA,E,Wii,0
